ville_nom,ville_departement
AMFREVILLE-LES-CHAMPS,27
AMFREVILLE-SOUS-LES-MONTS,27
AMFREVILLE-SUR-ITON,27
AMFROIPRET,59
AMIENS,80
AMIFONTAINE,02
AMIGNY,50
AMIGNY-ROUY,02
AMILLIS,77
AMILLY,28
AMILLY,45
AMIONS,42
AMIRAT,06
AMMERSCHWIHR,68
AMMERZWILLER,68
AMNE,72
AMNEVILLE,57
AMONCOURT,70
AMONDANS,25
AMONT-ET-EFFRENEY,70
AMOROTS-SUCCOS,64
AMOU,40
AMPILLY-LE-SEC,21
AMPILLY-LES-BORDES,21
AMPLEPUIS,69
AMPLIER,62
AMPOIGNE,53
AMPONVILLE,77
AMPRIANI,2B
AMPUIS,69
AMPUS,83
AMURE,79
AMY,60
ANAIS,16
ANAIS,17
ANAN,31
ANCE,64
ANCEAUMEVILLE,76
ANCEINS,61
ANCELLE,05
ANCEMONT,55
ANCENIS,44
ANCERVILLE,55
ANCERVILLE,57
ANCERVILLER,54
ANCEY,21
ANCHAMPS,08
ANCHE,37
ANCHE,86
ANCHENONCOURT-ET-CHAZEL,70
ANCIENVILLE,02
ANCIER,70
ANCINNES,72
ANCIZAN,65
ANCONE,26
ANCOURT,76
ANCOURTEVILLE-SUR-HERICOURT,76
ANCRETIEVILLE-SAINT-VICTOR,76
ANCRETTEVILLE-SUR-MER,76
ANCTEVILLE,50
ANCTOVILLE,14
ANCTOVILLE-SUR-BOSCQ,50
ANCY,69
ANCY-LE-FRANC,89
ANCY-LE-LIBRE,89
ANCY-SUR-MOSELLE,57
ANDAINVILLE,80
ANDANCE,07
ANDANCETTE,26
ANDARD,49
ANDE,27
ANDECHY,80
ANDEL,22
ANDELAIN,02
ANDELAROCHE,03
ANDELARRE,70
ANDELARROT,70
ANDELAT,15
ANDELNANS,90
ANDELOT-BLANCHEVILLE,52
ANDELOT-EN-MONTAGNE,39
ANDELOT-MORVAL,39
ANDELU,78
ANDERNAY,55
ANDERNOS-LES-BAINS,33
ANDERNY,54
ANDERT-ET-CONDON,01
ANDEVILLE,60
ANDIGNE,49
ANDILLAC,81
ANDILLY,54
ANDILLY,74
ANDILLY,95
ANDILLY,17
ANDILLY-EN-BASSIGNY,52
ANDIRAN,47
ANDLAU,67
ANDOINS,64
ANDOLSHEIM,68
ANDON,06
ANDONVILLE,45
ANDORNAY,70
ANDOUILLE,53
ANDOUILLE-NEUVILLE,35
ANDOUQUE,81
ANDREIN,64
ANDRES,62
ANDREST,65
ANDRESY,78
ANDREZE,49
ANDREZEL,77
ANDREZIEUX-BOUTHEON,42
ANDRYES,89
ANDUZE,30
ANERES,65
ANET,28
ANETZ,44
ANGAIS,64
ANGE,41
ANGEAC-CHAMPAGNE,16
ANGEAC-CHARENTE,16
ANGECOURT,08
ANGEDUC,16
ANGELY,89
ANGEOT,90
ANGERS,49
ANGERVILLE,14
ANGERVILLE,91
ANGERVILLE-BAILLEUL,76
ANGERVILLE-L'ORCHER,76
ANGERVILLE-LA-CAMPAGNE,27
ANGERVILLE-LA-MARTEL,76
ANGERVILLIERS,91
ANGEVILLE,82
ANGEVILLERS,57
ANGEY,50
ANGICOURT,60
ANGIENS,76
ANGIREY,70
ANGIVILLERS,60
ANGLADE,33
ANGLARDS-DE-SAINT-FLOUR,15
ANGLARDS-DE-SALERS,15
ANGLARS,46
ANGLARS-JUILLAC,46
ANGLARS-NOZAC,46
ANGLARS-SAINT-FELIX,12
ANGLEFORT,01
ANGLEMONT,88
ANGLES,81
ANGLES,85
ANGLES,04
ANGLES-SUR-L'ANGLIN,86
ANGLESQUEVILLE-L'ESNEVAL,76
ANGLESQUEVILLE-LA-BRAS-LONG,76
ANGLET,64
ANGLIERS,86
ANGLIERS,17
ANGLURE,51
ANGLURE-SOUS-DUN,71
ANGLUZELLES-ET-COURCELLES,51
ANGOISSE,24
ANGOMONT,54
ANGOS,65
ANGOULEME,16
ANGOULINS,17
ANGOUME,40
ANGOUS,64
ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,66
ANGOVILLE,14
ANGOVILLE-AU-PLAIN,50
ANGOVILLE-SUR-AY,50
ANGRES,62
ANGRESSE,40
ANGRIE,49
ANGUERNY,14
ANGUILCOURT-LE-SART,02
ANGY,60
ANHAUX,64
ANHIERS,59
ANIANE,34
ANICHE,59
ANISY,14
ANIZY-LE-CHATEAU,02
ANJEUX,70
ANJOU,38
ANJOUIN,36
ANJOUTEY,90
ANLA,65
ANLEZY,58
ANLHIAC,24
ANNAY,58
ANNAY,62
ANNAY-LA-COTE,89
ANNAY-SUR-SEREIN,89
ANNEBAULT,14
ANNECY,74
ANNECY-LE-VIEUX,74
ANNELLES,08
ANNEMASSE,74
ANNEOT,89
ANNEPONT,17
ANNEQUIN,62
ANNESSE-ET-BEAULIEU,24
ANNET-SUR-MARNE,77
ANNEUX,59
ANNEVILLE-AMBOURVILLE,76
ANNEVILLE-EN-SAIRE,50
ANNEVILLE-LA-PRAIRIE,52
ANNEVILLE-SUR-MER,50
ANNEVILLE-SUR-SCIE,76
ANNEYRON,26
ANNEZAY,17
ANNEZIN,62
ANNOEULLIN,59
ANNOIRE,39
ANNOIS,02
ANNOISIN-CHATELANS,38
ANNOIX,18
ANNONAY,07
ANNONVILLE,52
ANNOT,04
ANNOUVILLE-VILMESNIL,76
ANNOUX,89
ANNOVILLE,50
ANOR,59
ANOS,64
ANOST,71
ANOULD,88
ANOUX,54
ANOYE,64
ANQUETIERVILLE,76
ANROSEY,52
ANSAC-SUR-VIENNE,16
ANSACQ,60
ANSAN,32
ANSAUVILLE,54
ANSAUVILLERS,60
ANSE,69
ANSE-BERTRAND,971
ANSERVILLE,60
ANSIGNAN,66
ANSOST,65
ANSOUIS,84
ANSTAING,59
ANTAGNAC,47
ANTERRIEUX,15
ANTEUIL,25
ANTEZANT-LA-CHAPELLE,17
ANTHE,47
ANTHELUPT,54
ANTHENAY,51
ANTHENY,08
ANTHEUIL,21
ANTHEUIL-PORTES,60
ANTHIEN,58
ANTHON,38
ANTHY-SUR-LEMAN,74
ANTIBES,06
ANTICHAN,65
ANTICHAN-DE-FRONTIGNES,31
ANTIGNAC,15
ANTIGNAC,31
ANTIGNY,85
ANTIGNY,86
ANTIGNY-LA-VILLE,21
ANTILLY,57
ANTILLY,60
ANTIN,65
ANTISANTI,2B
ANTIST,65
ANTOGNY-LE-TILLAC,37
ANTOIGNE,49
ANTOIGNY,61
ANTOINGT,63
ANTONAVES,05
ANTONNE-ET-TRIGONANT,24
ANTONY,92
ANTRAIGUES-SUR-VOLANE,07
ANTRAIN,35
ANTRAN,86
ANTRAS,09
ANTRAS,32
ANTRENAS,48
ANTUGNAC,11
ANTULLY,71
ANVEVILLE,76
ANVILLE,16
ANVIN,62
ANY-MARTIN-RIEUX,02
ANZAT-LE-LUGUET,63
ANZELING,57
ANZEME,23
ANZEX,47
ANZIN,59
ANZIN-SAINT-AUBIN,62
ANZY-LE-DUC,71
AOSTE,38
AOUGNY,51
AOUSTE,08
AOUSTE-SUR-SYE,26
AOUZE,88
APACH,57
APATOU,973
APCHAT,63
APCHON,15
APINAC,42
APPELLE,81
APPENAI-SOUS-BELLEME,61
APPENANS,25
APPENWIHR,68
APPEVILLE,50
APPEVILLE-ANNEBAULT,27
APPIETTO,2A
APPILLY,60
APPOIGNY,89
APPRIEU,38
APPY,09
APREMONT,01
APREMONT,08
APREMONT,60
APREMONT,70
APREMONT,73
APREMONT,85
APREMONT-LA-FORET,55
APREMONT-SUR-ALLIER,18
APREY,52
APT,84
ARABAUX,09
ARACHES-LA-FRASSE,74
ARAGNOUET,65
ARAGON,11
ARAMITS,64
ARAMON,30
ARANC,01
ARANCOU,64
ARANDAS,01
ARANDON,38
ARAUJUZON,64
ARAULES,43
ARAUX,64
ARBANATS,33
ARBAS,31
ARBECEY,70
ARBELLARA,2A
ARBENT,01
ARBEOST,65
ARBERATS-SILLEGUE,64
ARBIGNIEU,01
ARBIGNY,01
ARBIGNY-SOUS-VARENNES,52
ARBIN,73
ARBIS,33
ARBLADE-LE-BAS,32
ARBLADE-LE-HAUT,32
ARBOIS,39
ARBON,31
ARBONNE,64
ARBONNE-LA-FORET,77
ARBORAS,34
ARBORI,2A
ARBOT,52
ARBOUANS,25
ARBOUCAVE,40
ARBOUET-SUSSAUTE,64
ARBOURSE,58
ARBOUSSOLS,66
ARBRISSEL,35
ARBUS,64
ARBUSIGNY,74
ARC-EN-BARROIS,52
ARC-ET-SENANS,25
